complaint_id,complaint_text,category
1,Open garbage dumping near the residential area in Jayanagar is causing a foul smell and unhygienic conditions. It is becoming very difficult for us to manage our daily routine. Kindly look into this matter and resolve it as soon as possible.,Garbage & Sanitation
2,"The transformer near Yelahanka is making a loud buzzing noise in the evening, and people fear it might be faulty or overloaded. Senior citizens and children are facing a lot of problems. Please send a team to inspect the problem and fix it at the earliest.",Streetlights & Electricity
3,"Water pressure in Yelahanka is extremely low early in the morning, and the tanks do not get filled even after several hours. This is affecting our work and health on a daily basis. Please send a team to inspect the problem and fix it at the earliest.",Water Supply
4,"In Electronic City, wet and dry waste are not being collected separately, leading to a huge mess and mixing of all kinds of waste. Because of this issue, people are scared to go out after dark. We request the concerned department to take immediate action.",Garbage & Sanitation
5,Open garbage dumping near the residential area in Basavanagudi is causing a foul smell and unhygienic conditions. Senior citizens and children are facing a lot of problems. We request the concerned department to take immediate action.,Garbage & Sanitation
6,"In Indiranagar, construction work continues in the evening, including weekends, causing constant noise and stress for people living nearby. Because of this issue, people are scared to go out after dark. Kindly address this problem before it leads to any serious incident.",Noise & Pollution
7,"Construction work on the road in Sarjapur Road has been left incomplete since yesterday morning, causing huge traffic jams and inconvenience. Residents have complained multiple times but no proper action is taken. Please treat this as an urgent civic issue and resolve it quickly.",Road & Potholes
8,"There is no proper timetable or digital display for bus timings in Whitefield, so passengers have no idea when the next bus will come. Because of this issue, people are scared to go out after dark. We hope the authorities will respond soon and provide a permanent solution.",Public Transport
9,"A small factory near Malleshwaram is releasing dark smoke and foul smell during peak traffic time, severely affecting the air quality in the locality. Because of this issue, people are scared to go out after dark. Please treat this as an urgent civic issue and resolve it quickly.",Noise & Pollution
10,"There are very few buses available from Sarjapur Road early in the morning, and passengers are forced to wait for a long time at the bus stop. It is becoming very difficult for us to manage our daily routine. Kindly address this problem before it leads to any serious incident.",Public Transport
11,"The road in Indiranagar is covered with dust due to continuous movement of heavy vehicles, and there is no regular cleaning by the authorities. Because of this issue, people are scared to go out after dark. We request the concerned department to take immediate action.",Noise & Pollution
12,"People in Banashankari are burning dry leaves and plastic waste in the morning, leading to thick smoke and breathing problems for residents. This is affecting our work and health on a daily basis. We request the concerned department to take immediate action.",Noise & Pollution
13,"The road in MG Road is covered with dust due to continuous movement of heavy vehicles, and there is no regular cleaning by the authorities. Because of this issue, people are scared to go out after dark. Kindly look into this matter and resolve it as soon as possible.",Noise & Pollution
14,"The road in BTM Layout is covered with dust due to continuous movement of heavy vehicles, and there is no regular cleaning by the authorities. This is causing inconvenience to office-goers and school children. Please send a team to inspect the problem and fix it at the earliest.",Noise & Pollution
15,"In BTM Layout, the water supply timing keeps changing without any proper information, causing a lot of confusion among residents. This is causing inconvenience to office-goers and school children. Kindly look into this matter and resolve it as soon as possible.",Water Supply
16,"In BTM Layout, garbage trucks have not come for the past 10 days. People are throwing waste on the roadside as there is no proper collection. Residents have complained multiple times but no proper action is taken. Please treat this as an urgent civic issue and resolve it quickly.",Garbage & Sanitation
17,"The road in Banashankari is covered with dust due to continuous movement of heavy vehicles, and there is no regular cleaning by the authorities. It is becoming very difficult for us to manage our daily routine. We request the concerned department to take immediate action.",Noise & Pollution
18,"Buses starting from Basavanagudi are always overcrowded during office hours, making it difficult for elderly people and women to board. Because of this issue, people are scared to go out after dark. Kindly look into this matter and resolve it as soon as possible.",Public Transport
19,"There is no proper timetable or digital display for bus timings in Jayanagar, so passengers have no idea when the next bus will come. The situation is getting worse day by day and needs urgent attention. Kindly register this as a complaint and share the action taken details.",Public Transport
20,"Streetlights in Electronic City have not been working since last night, and the entire stretch becomes pitch dark after sunset. The situation is getting worse day by day and needs urgent attention. Kindly look into this matter and resolve it as soon as possible.",Streetlights & Electricity
21,"In Banashankari, construction work continues early in the morning, including weekends, causing constant noise and stress for people living nearby. Many people in the neighborhood are very frustrated with this issue. Please treat this as an urgent civic issue and resolve it quickly.",Noise & Pollution
22,"In Basavanagudi, construction work continues around midnight, including weekends, causing constant noise and stress for people living nearby. Senior citizens and children are facing a lot of problems. We hope the authorities will respond soon and provide a permanent solution.",Noise & Pollution
23,"Buses starting from Indiranagar are always overcrowded during office hours, making it difficult for elderly people and women to board. Because of this issue, people are scared to go out after dark. Please treat this as an urgent civic issue and resolve it quickly.",Public Transport
24,"In Rajajinagar, the water supply timing keeps changing without any proper information, causing a lot of confusion among residents. Many people in the neighborhood are very frustrated with this issue. We hope the authorities will respond soon and provide a permanent solution.",Water Supply
25,"Streetlights in Basavanagudi have not been working for almost a week, and the entire stretch becomes pitch dark after sunset. Senior citizens and children are facing a lot of problems. Please treat this as an urgent civic issue and resolve it quickly.",Streetlights & Electricity
26,"Electric wires are hanging very low from the electric poles in Koramangala, creating a serious safety hazard for people walking nearby. Senior citizens and children are facing a lot of problems. Please send a team to inspect the problem and fix it at the earliest.",Streetlights & Electricity
27,"Buses starting from Sarjapur Road are always overcrowded during office hours, making it difficult for elderly people and women to board. It is becoming very difficult for us to manage our daily routine. Please treat this as an urgent civic issue and resolve it quickly.",Public Transport
28,"In Rajajinagar, the water supply timing keeps changing without any proper information, causing a lot of confusion among residents. This is affecting our work and health on a daily basis. We would be grateful if this issue is treated as high priority.",Water Supply
29,"There is no proper speed breaker near the school zone in Banashankari, and vehicles are moving at high speed, posing a danger to children. It is becoming very difficult for us to manage our daily routine. We would be grateful if this issue is treated as high priority.",Road & Potholes
30,"The bus stop in Electronic City has no proper shelter or seating, and people have to stand in the hot sun or heavy rain. Residents have complained multiple times but no proper action is taken. We would be grateful if this issue is treated as high priority.",Public Transport
31,"Residents of Rajajinagar have noticed that garbage is being burned in an open plot in the evening, creating a lot of smoke and health issues. Many people in the neighborhood are very frustrated with this issue. Please send a team to inspect the problem and fix it at the earliest.",Garbage & Sanitation
32,"Electric wires are hanging very low from the electric poles in Basavanagudi, creating a serious safety hazard for people walking nearby. Senior citizens and children are facing a lot of problems. Kindly register this as a complaint and share the action taken details.",Streetlights & Electricity
33,"A small factory near Sarjapur Road is releasing dark smoke and foul smell in the evening, severely affecting the air quality in the locality. Because of this issue, people are scared to go out after dark. We would be grateful if this issue is treated as high priority.",Noise & Pollution
34,"The bus stop in Hebbal has no proper shelter or seating, and people have to stand in the hot sun or heavy rain. This is causing inconvenience to office-goers and school children. Please treat this as an urgent civic issue and resolve it quickly.",Public Transport
35,"A small factory near Jayanagar is releasing dark smoke and foul smell in the evening, severely affecting the air quality in the locality. This is causing inconvenience to office-goers and school children. Please treat this as an urgent civic issue and resolve it quickly.",Noise & Pollution
36,"People in Rajajinagar are burning dry leaves and plastic waste late at night, leading to thick smoke and breathing problems for residents. This is causing inconvenience to office-goers and school children. Please treat this as an urgent civic issue and resolve it quickly.",Noise & Pollution
37,"In Banashankari, the water coming from the taps is very muddy and has a bad smell, making it unsafe for daily use. Because of this issue, people are scared to go out after dark. We hope the authorities will respond soon and provide a permanent solution.",Water Supply
38,"Buses starting from Sarjapur Road are always overcrowded during office hours, making it difficult for elderly people and women to board. Because of this issue, people are scared to go out after dark. Please treat this as an urgent civic issue and resolve it quickly.",Public Transport
39,Open garbage dumping near the residential area in Jayanagar is causing a foul smell and unhygienic conditions. The situation is getting worse day by day and needs urgent attention. Kindly look into this matter and resolve it as soon as possible.,Garbage & Sanitation
40,"Streetlights in Hebbal have not been working for many weeks continuously, and the entire stretch becomes pitch dark after sunset. It is becoming very difficult for us to manage our daily routine. Kindly address this problem before it leads to any serious incident.",Streetlights & Electricity
41,"Buses starting from Whitefield are always overcrowded during office hours, making it difficult for elderly people and women to board. This is causing inconvenience to office-goers and school children. Please treat this as an urgent civic issue and resolve it quickly.",Public Transport
42,"There is a major leakage in the main water pipeline near Yelahanka, resulting in wastage of thousands of litres of water every day. Senior citizens and children are facing a lot of problems. Please send a team to inspect the problem and fix it at the earliest.",Water Supply
43,Uncollected garbage is piling up on the streets in Banashankari for over a month now. The overflowing dustbins are attracting stray animals and insects. Many people in the neighborhood are very frustrated with this issue. Kindly address this problem before it leads to any serious incident.,Garbage & Sanitation
44,"There are very few buses available from BTM Layout in the evening, and passengers are forced to wait for a long time at the bus stop. The situation is getting worse day by day and needs urgent attention. We would be grateful if this issue is treated as high priority.",Public Transport
45,"There are very few buses available from BTM Layout early in the morning, and passengers are forced to wait for a long time at the bus stop. Senior citizens and children are facing a lot of problems. Please treat this as an urgent civic issue and resolve it quickly.",Public Transport
46,"People in Whitefield are burning dry leaves and plastic waste around midnight, leading to thick smoke and breathing problems for residents. Residents have complained multiple times but no proper action is taken. Kindly register this as a complaint and share the action taken details.",Noise & Pollution
47,"There is a major leakage in the main water pipeline near Rajajinagar, resulting in wastage of thousands of litres of water every day. Senior citizens and children are facing a lot of problems. Kindly address this problem before it leads to any serious incident.",Water Supply
48,"In Whitefield, construction work continues in the evening, including weekends, causing constant noise and stress for people living nearby. Many people in the neighborhood are very frustrated with this issue. We would be grateful if this issue is treated as high priority.",Noise & Pollution
49,"Construction work on the road in Sarjapur Road has been left incomplete for over a month now, causing huge traffic jams and inconvenience. Residents have complained multiple times but no proper action is taken. We request the concerned department to take immediate action.",Road & Potholes
50,"In Hebbal, wet and dry waste are not being collected separately, leading to a huge mess and mixing of all kinds of waste. This is affecting our work and health on a daily basis. We request the concerned department to take immediate action.",Garbage & Sanitation
51,"People in Banashankari are burning dry leaves and plastic waste in the morning, leading to thick smoke and breathing problems for residents. Senior citizens and children are facing a lot of problems. We hope the authorities will respond soon and provide a permanent solution.",Noise & Pollution
52,"People in Yelahanka are burning dry leaves and plastic waste late at night, leading to thick smoke and breathing problems for residents. This is causing inconvenience to office-goers and school children. Please send a team to inspect the problem and fix it at the earliest.",Noise & Pollution
53,"In Whitefield, the water coming from the taps is very muddy and has a bad smell, making it unsafe for daily use. This is affecting our work and health on a daily basis. We request the concerned department to take immediate action.",Water Supply
54,"Streetlights in MG Road have not been working for many weeks continuously, and the entire stretch becomes pitch dark after sunset. The situation is getting worse day by day and needs urgent attention. Kindly look into this matter and resolve it as soon as possible.",Streetlights & Electricity
55,"In Basavanagudi, garbage trucks have not come for many weeks continuously. People are throwing waste on the roadside as there is no proper collection. Residents have complained multiple times but no proper action is taken. Please send a team to inspect the problem and fix it at the earliest.",Garbage & Sanitation
56,The main road in Koramangala is full of deep potholes since last night. Vehicles are getting damaged and it is very risky for two-wheelers. Senior citizens and children are facing a lot of problems. Please treat this as an urgent civic issue and resolve it quickly.,Road & Potholes
57,"There is a major leakage in the main water pipeline near Whitefield, resulting in wastage of thousands of litres of water every day. Because of this issue, people are scared to go out after dark. We hope the authorities will respond soon and provide a permanent solution.",Water Supply
58,"The bus stop in Banashankari has no proper shelter or seating, and people have to stand in the hot sun or heavy rain. Senior citizens and children are facing a lot of problems. Kindly register this as a complaint and share the action taken details.",Public Transport
59,"There is a major leakage in the main water pipeline near Basavanagudi, resulting in wastage of thousands of litres of water every day. It is becoming very difficult for us to manage our daily routine. Kindly address this problem before it leads to any serious incident.",Water Supply
60,"In Hebbal, a large portion of the road has sunk, and there is stagnant water collected, increasing the chances of accidents. The situation is getting worse day by day and needs urgent attention. Kindly register this as a complaint and share the action taken details.",Road & Potholes
61,"After the recent rains, the road surface in Banashankari has completely worn out, and there are cracks and uneven patches everywhere. It is becoming very difficult for us to manage our daily routine. Please treat this as an urgent civic issue and resolve it quickly.",Road & Potholes
62,"Loudspeakers from a function hall in Electronic City are playing music at very high volume during office hours, disturbing the entire neighborhood. Many people in the neighborhood are very frustrated with this issue. We hope the authorities will respond soon and provide a permanent solution.",Noise & Pollution
63,"There is a major leakage in the main water pipeline near Indiranagar, resulting in wastage of thousands of litres of water every day. It is becoming very difficult for us to manage our daily routine. Please treat this as an urgent civic issue and resolve it quickly.",Water Supply
64,"Uncollected garbage is piling up on the streets in Indiranagar for the past 10 days. The overflowing dustbins are attracting stray animals and insects. Because of this issue, people are scared to go out after dark. We would be grateful if this issue is treated as high priority.",Garbage & Sanitation
65,"People in MG Road are burning dry leaves and plastic waste late at night, leading to thick smoke and breathing problems for residents. It is becoming very difficult for us to manage our daily routine. Kindly address this problem before it leads to any serious incident.",Noise & Pollution
66,"Loudspeakers from a function hall in Indiranagar are playing music at very high volume in the evening, disturbing the entire neighborhood. This is causing inconvenience to office-goers and school children. We would be grateful if this issue is treated as high priority.",Noise & Pollution
67,"In Electronic City, the water coming from the taps is very muddy and has a bad smell, making it unsafe for daily use. Many people in the neighborhood are very frustrated with this issue. We request the concerned department to take immediate action.",Water Supply
68,"Loudspeakers from a function hall in Koramangala are playing music at very high volume early in the morning, disturbing the entire neighborhood. Because of this issue, people are scared to go out after dark. Please treat this as an urgent civic issue and resolve it quickly.",Noise & Pollution
69,There has been no regular water supply in MG Road for the last 2 days. People are struggling to manage even basic needs like drinking and cooking. This is affecting our work and health on a daily basis. Kindly register this as a complaint and share the action taken details.,Water Supply
70,"In Yelahanka, the water coming from the taps is very muddy and has a bad smell, making it unsafe for daily use. Residents have complained multiple times but no proper action is taken. We hope the authorities will respond soon and provide a permanent solution.",Water Supply
71,"Buses starting from Rajajinagar are always overcrowded during office hours, making it difficult for elderly people and women to board. Because of this issue, people are scared to go out after dark. Kindly look into this matter and resolve it as soon as possible.",Public Transport
72,"Buses starting from Rajajinagar are always overcrowded during office hours, making it difficult for elderly people and women to board. Senior citizens and children are facing a lot of problems. Please treat this as an urgent civic issue and resolve it quickly.",Public Transport
73,"There are very few buses available from Malleshwaram in the morning, and passengers are forced to wait for a long time at the bus stop. Because of this issue, people are scared to go out after dark. Please send a team to inspect the problem and fix it at the earliest.",Public Transport
74,"Buses starting from BTM Layout are always overcrowded during office hours, making it difficult for elderly people and women to board. This is affecting our work and health on a daily basis. We hope the authorities will respond soon and provide a permanent solution.",Public Transport
75,"Loudspeakers from a function hall in Whitefield are playing music at very high volume early in the morning, disturbing the entire neighborhood. The situation is getting worse day by day and needs urgent attention. We hope the authorities will respond soon and provide a permanent solution.",Noise & Pollution
76,"In Malleshwaram, several streetlights keep flickering throughout the night, making it uncomfortable and unsafe for pedestrians. Senior citizens and children are facing a lot of problems. Kindly register this as a complaint and share the action taken details.",Streetlights & Electricity
77,"Loudspeakers from a function hall in Electronic City are playing music at very high volume around midnight, disturbing the entire neighborhood. This is affecting our work and health on a daily basis. Please treat this as an urgent civic issue and resolve it quickly.",Noise & Pollution
